id,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,Yaw,Pitch,Roll,Pressure,Temperature,Alttitude
2922,0.33,-0.41,0.3,-29.71,0.74,-51.93,11.52,-1.56,-3.29,652.07,1.44,7055.0
2923,0.33,-0.41,0.3,-29.71,0.74,-51.93,18.93,-0.41,0.41,652.14,-0.33,7041.67
2924,0.3,-0.48,0.34,-29.71,0.74,-66.74,15.22,-4.11,7.82,414.71,16.93,9705.0
2925,-0.04,-0.11,0.11,41.15,-29.71,-21.81,-11.52,11.52,-5.26,241.15,25.45,9990.0
2926,-0.08,-0.07,0.07,15.22,-29.71,0.41,-11.52,11.52,-5.26,241.15,25.45,9986.67
2927,0.11,-0.37,0.56,-4.11,18.93,-15.22,18.93,3.29,10.37,446.99,8.19,8448.33
2928,0.52,-1.19,1.04,-60.49,41.97,-71.6,45.67,-12.34,23.45,446.72,11.6,8455.0
2929,0.0,-0.33,0.22,-0.41,15.22,-11.52,0.74,-2.97,11.52,447.09,9.89,8471.67
2930,0.41,-0.41,0.15,-26.0,0.41,-29.71,-2.96,-10.37,8.96,241.05,9.89,10006.67
2931,0.26,-0.18,0.22,-40.49,-7.0,-29.71,-10.37,-10.37,16.37,492.28,9.82,6881.67
2932,0.64,-0.74,0.93,-100.56,27.15,-82.38,24.6,-20.89,24.6,718.78,-2.22,4576.67
2933,0.04,-0.19,0.67,-29.71,11.52,-37.45,-5.85,5.85,7.82,718.94,1.19,4580.0
2934,0.37,-0.15,0.37,-29.71,11.52,-26.0,1.56,5.85,0.41,467.71,-2.15,7711.67
2935,0.07,0.48,-0.26,15.56,-22.63,-2.96,-15.22,22.63,-8.96,241.12,8.19,9996.67
2936,-0.22,0.45,-0.37,-21.48,-52.26,-2.96,-7.82,18.93,-2.7,241.18,20.3,10003.33
2937,-0.75,0.82,-0.82,37.93,-86.08,45.67,-64.19,30.86,-25.74,241.32,18.75,10000.0
2938,-0.64,0.41,-0.74,52.75,-100.56,75.3,-93.82,27.15,-35.71,443.76,10.22,8590.0
2939,-0.41,0.6,-0.93,52.75,-74.64,71.6,-112.01,20.89,-34.56,443.66,-3.48,8583.33
2940,-0.41,0.6,-0.93,52.75,-74.64,71.6,-89.78,28.3,-30.86,443.73,-8.86,8586.67
2941,-0.52,1.01,-1.01,37.93,-60.15,41.97,-67.56,35.71,-27.15,241.22,-7.26,10016.67
2942,-0.67,0.86,-0.67,45.34,-86.08,60.15,-67.56,35.71,-27.15,241.22,-7.26,10016.67
2943,-0.56,0.56,-0.15,11.52,-37.45,29.71,-40.82,12.67,-0.41,241.08,4.85,10010.0
2944,-0.48,0.41,0.14,48.56,-33.74,33.41,-33.41,8.96,5.85,241.15,11.78,9990.0
2945,0.34,-0.15,0.37,7.33,11.52,-26.0,11.52,-0.41,17.78,240.98,20.3,10000.0
2946,0.15,0.33,0.03,52.59,-18.93,0.74,-7.82,18.93,-2.7,241.18,15.12,10006.67
2947,0.48,-0.04,0.26,-18.26,11.52,-44.19,8.96,-0.41,17.78,240.98,6.6,10010.0
2948,-0.04,0.33,-0.19,41.15,-22.3,4.44,-35.97,8.96,5.85,241.15,-1.93,10010.0
2949,-0.11,0.48,-0.48,4.11,-26.0,0.74,-35.97,8.96,5.85,241.15,-1.93,10013.33
2950,-0.51,0.64,-0.95,60.12,-49.04,75.3,-49.04,28.3,-14.63,494.84,13.34,6750.0
2951,-0.58,0.83,-0.77,71.56,-30.86,71.6,-49.04,28.3,-14.63,494.87,23.56,6743.33
2952,-0.43,0.49,-0.65,97.16,-45.34,79.0,-67.23,22.04,-13.49,671.52,13.23,6316.67
2953,-0.38,0.52,-0.56,86.08,-70.93,38.26,-78.34,25.74,-19.75,417.96,-0.44,9586.67
2954,-0.38,0.34,-0.71,60.15,-89.12,27.15,-60.15,32.0,-20.89,418.03,-2.15,9583.33
2955,-0.67,0.52,-0.49,41.97,-100.56,37.93,-45.67,30.86,-24.6,241.35,15.11,10000.0
2956,-0.08,0.15,-0.08,-2.96,-66.74,4.11,-11.52,11.52,-5.26,241.15,25.45,10003.33
2957,0.3,-0.45,0.52,-59.34,-25.52,-18.93,5.26,-7.82,15.22,240.95,30.63,10020.0
2958,1.15,-0.97,0.86,-74.97,19.75,-60.15,25.74,-27.15,34.56,240.68,25.41,10013.33
2959,0.86,-0.86,0.89,-86.41,34.56,-45.67,22.04,-34.56,32.0,240.72,11.67,10006.67
2960,1.04,-0.6,0.67,-56.78,27.15,-38.26,22.04,-38.26,22.04,477.1,11.67,7368.33
2961,0.41,-0.08,0.3,-11.52,11.52,-11.52,1.56,-18.93,2.7,477.37,16.89,7388.33
2962,-0.0,0.59,-0.37,59.34,-22.63,33.41,-28.89,7.82,-14.08,477.53,20.3,7385.0
2963,-0.67,1.34,-0.97,100.56,-41.97,74.64,-45.67,30.86,-24.6,241.35,15.11,10016.67
2964,-0.63,1.08,-1.19,78.34,-60.15,100.56,-71.6,34.56,-32.0,241.25,6.63,10013.33
2965,-0.19,0.48,-0.59,18.93,-26.0,41.15,-47.41,4.11,-8.96,241.02,15.27,10016.67
2966,-0.19,0.48,-0.59,18.93,-26.0,41.15,-54.82,7.82,-15.22,240.95,8.34,10006.67
2967,-0.45,0.74,-0.34,11.52,-37.45,29.71,-43.37,5.26,-4.11,240.98,1.37,10010.0
2968,-0.71,0.93,-0.75,70.93,-86.08,78.34,-60.15,32.0,-20.89,241.28,-0.33,10020.0
2969,-0.56,0.45,-0.6,60.15,-100.56,89.78,-52.75,28.3,-14.63,241.35,6.6,10023.33
2970,-0.64,0.41,-0.74,52.75,-100.56,75.3,-52.75,28.3,-14.63,241.35,6.6,10010.0
2971,-0.52,0.11,-0.22,18.93,-51.93,44.85,-26.0,12.67,-1.56,447.16,-3.74,8458.33
2972,0.0,-0.15,0.22,-11.52,-18.11,-7.82,-9.22,-10.37,8.96,683.34,1.44,5833.33
2973,0.86,-0.71,0.45,-27.15,27.15,-64.19,28.3,-23.45,28.3,891.5,13.37,4208.33
2974,0.37,-0.26,0.0,-18.93,-32.92,-37.45,-16.63,-14.08,16.37,685.6,15.19,5743.33
2975,-0.3,0.48,-0.59,22.3,-52.26,3.78,-40.82,12.67,-0.41,449.35,3.07,8371.67
2976,-0.97,1.3,-1.08,63.53,-71.6,74.64,-78.34,25.74,-19.75,428.45,-1.89,9163.33
2977,-0.89,1.34,-0.93,70.93,-71.6,89.12,-60.15,32.0,-20.89,428.55,6.63,9180.0
2978,-1.01,1.11,-0.53,52.75,-97.52,89.12,-60.15,32.0,-20.89,428.55,6.63,9190.0
2979,-0.6,0.44,0.14,-18.11,-63.37,44.19,-25.19,21.48,-12.67,241.22,1.26,10026.67
2980,-0.45,0.59,-0.19,-25.52,-37.45,26.0,-54.82,17.78,-22.63,241.08,-0.3,10026.67
2981,0.41,0.04,-0.07,-48.56,18.93,-33.41,-24.37,-5.26,4.11,484.66,13.56,7138.33
2982,0.41,0.04,-0.07,-48.56,18.93,-33.41,-14.41,-4.11,7.82,484.56,23.89,7135.0
2983,1.08,-0.67,0.49,-82.38,38.26,-74.64,32.0,-17.19,27.15,484.36,30.63,7121.67
2984,0.64,-0.6,0.67,-74.97,41.97,-56.45,35.71,-13.49,19.75,240.58,27.12,10010.0
2985,0.41,-0.33,0.19,-4.11,-6.67,-22.3,8.96,2.15,6.67,240.85,23.71,10020.0
2986,-0.33,0.3,-0.45,44.52,-26.0,48.56,-26.0,12.67,-1.56,241.08,10.0,10016.67
2987,-0.11,0.08,-0.22,33.41,-3.78,41.15,-35.97,8.96,5.85,241.15,11.78,10003.33
2988,-0.19,0.26,-0.04,44.85,14.41,37.45,-39.67,1.56,3.29,241.12,18.7,10006.67
2989,-0.19,0.26,-0.04,44.85,14.41,37.45,-51.11,4.11,-7.82,241.08,25.67,10010.0
2990,-0.56,0.71,-0.82,79.0,-56.45,97.52,-67.89,23.45,-28.3,241.28,20.49,10003.33
2991,-0.71,0.56,-0.97,79.0,-74.64,93.82,-93.82,30.86,-35.71,496.05,20.49,6740.0
2992,-0.49,0.41,-0.89,64.19,-89.12,67.89,-82.38,28.3,-28.3,743.41,27.23,3743.33
2993,0.07,0.11,-0.41,15.56,-55.3,-2.96,-65.6,1.56,-11.52,743.11,28.93,3746.67
2994,0.41,-0.22,0.07,-29.71,-6.67,-26.0,-16.63,-25.19,15.22,488.07,23.71,7000.0
2995,0.97,-0.67,0.74,-37.93,27.15,-52.75,18.34,-35.71,27.15,240.52,23.71,10013.33
2996,0.3,-0.04,0.07,10.7,18.93,-11.52,-28.07,-8.96,10.37,483.1,22.01,7183.33
2997,-0.11,0.45,-0.23,26.33,-41.15,29.71,-65.6,11.52,-5.26,681.41,23.71,5930.0
2998,-0.41,0.59,-0.37,0.74,-26.34,11.52,-63.04,11.52,-5.26,874.29,10.0,4875.0
2999,0.3,-0.0,0.41,-22.3,-18.11,-11.52,-16.63,-5.26,4.11,631.68,15.19,7721.67
3000,0.89,-0.67,0.6,-4.04,11.52,-0.08,-2.15,-6.41,0.41,690.93,13.59,5638.33
3001,0.48,-0.15,0.07,29.78,-22.63,41.15,-28.89,14.08,-15.22,498.32,15.19,6686.67
3002,-0.3,0.45,-0.67,52.82,-41.97,93.82,-49.37,23.45,-27.15,498.62,16.93,6676.67
3003,-0.74,1.27,-1.19,27.15,-45.67,64.19,-45.67,30.86,-24.6,241.35,15.11,10003.33
3004,-0.26,0.41,-0.34,7.82,10.7,33.74,-11.52,11.52,-5.26,241.15,25.45,10010.0
3005,0.22,-0.04,0.26,-40.82,44.85,-37.11,18.93,3.29,10.37,240.92,21.93,10016.67
3006,0.6,-0.64,0.86,-86.08,79.0,-63.86,35.71,-13.49,19.75,240.58,27.12,10036.67
3007,0.82,-0.45,0.45,-82.38,41.97,-56.45,28.3,-14.63,16.04,455.76,28.89,8148.33
3008,1.04,-0.67,0.34,-64.19,27.15,-67.89,28.3,-14.63,16.04,455.76,28.89,8151.67
3009,1.34,-0.78,0.3,-52.75,12.34,-82.38,34.56,-20.89,17.19,455.86,13.37,8138.33
3010,0.78,-0.44,-0.03,-11.52,-21.48,-51.93,7.82,-0.41,1.56,457.02,-2.15,8096.67
3011,0.29,-0.03,-0.33,29.71,-55.3,8.15,-18.93,15.22,-11.52,457.28,-5.55,8086.67
3012,-0.3,0.34,-0.74,74.64,-89.12,41.97,-45.67,30.86,-24.6,457.48,11.71,8083.33
3013,-0.11,-0.07,-0.0,15.22,-55.3,-18.11,-18.93,11.52,2.15,492.38,25.38,6875.0
3014,-0.15,-0.14,-0.04,4.44,-55.3,4.11,-37.11,5.26,3.29,492.28,16.85,6881.67
3015,-0.08,-0.14,-0.07,18.93,-55.3,18.93,-51.6,6.41,7.0,668.96,-0.41,6468.33
3016,-0.15,-0.03,-0.3,44.52,-40.49,48.56,-44.19,6.41,-0.41,623.8,-14.08,8051.67
3017,-0.15,-0.03,-0.3,44.52,-40.49,48.56,-33.41,16.37,-7.82,806.82,-14.08,7375.0
3018,0.15,-0.63,0.34,-26.34,0.74,10.7,7.82,-0.41,1.56,629.94,-14.08,7805.0
3019,0.37,-0.85,0.56,-37.45,22.96,3.3,0.41,-4.11,8.96,423.93,1.44,9356.67
3020,0.97,-1.15,0.93,-67.89,67.89,-67.56,30.86,-27.15,35.71,484.53,16.89,7148.33
3021,1.12,-0.97,0.6,-56.45,60.49,-89.78,34.56,-19.75,38.26,713.74,30.63,4760.0
3022,0.74,-0.52,-0.18,-22.3,-10.37,-29.71,7.82,3.29,11.52,713.87,18.52,4763.33
3023,0.15,-0.22,-0.55,8.15,-55.3,41.15,-22.63,26.33,-15.22,470.29,4.67,7635.0
3024,0.26,-0.14,-0.3,33.74,-55.3,70.78,-22.63,26.33,-15.22,241.05,4.67,10020.0
3025,0.82,-0.44,0.19,-14.89,-21.48,-0.08,11.52,7.0,4.11,240.85,15.0,10000.0
3026,0.63,-0.11,0.04,-14.89,-7.0,-0.08,0.74,-2.97,11.52,240.82,13.41,9996.67
3027,0.41,-0.3,0.22,-26.0,30.04,-7.48,-9.22,-14.08,15.22,240.78,11.71,10000.0
3028,-0.15,0.0,-0.26,22.63,-3.78,63.37,-54.15,-4.7,3.29,240.95,-0.22,10003.33
3029,-0.11,0.15,-0.26,33.41,-3.78,51.93,-39.67,-5.85,-0.41,409.52,6.74,9926.67
3030,-0.67,0.93,-1.19,67.56,-60.15,112.01,-56.45,20.89,-17.19,409.82,5.04,9916.67
3031,-0.3,0.37,-0.48,33.41,-18.93,29.71,-21.48,10.37,-8.96,409.59,18.75,9926.67
3032,0.45,-0.37,0.26,-0.41,0.41,-11.52,1.56,-8.96,10.37,240.82,22.01,10010.0
3033,0.52,-0.3,0.33,-15.22,0.41,-41.15,-5.85,-5.26,4.11,240.95,25.41,10003.33
3034,0.11,0.52,-0.15,41.15,-22.63,15.22,-26.33,4.11,-7.82,241.25,27.15,10003.33
3035,-0.75,1.04,-0.49,56.78,-67.89,56.45,-75.3,27.15,-34.56,241.42,23.89,10000.0
3036,-0.34,0.52,0.03,22.96,-33.74,15.22,-44.85,0.41,-17.78,241.05,10.15,10006.67
3037,0.04,-0.26,0.48,-59.34,-10.7,-18.93,-24.37,-18.93,1.56,451.42,3.23,8291.67
3038,0.82,-0.86,0.56,-82.38,34.56,-89.78,24.6,-34.56,32.0,659.61,8.19,6670.0
3039,1.04,-1.08,0.45,-64.19,19.75,-101.23,18.34,-28.3,30.86,659.51,23.71,6666.67
3040,0.52,-0.22,-0.37,-4.11,-7.0,-41.15,-16.63,-7.82,15.22,449.08,15.19,8381.67
3041,0.26,-0.07,-0.18,-33.74,7.82,-15.22,-9.22,-4.11,7.82,240.75,15.19,10013.33
3042,-0.37,0.67,-0.6,-18.11,-11.52,37.45,-33.41,16.37,-7.82,241.22,13.41,10010.0
3043,-0.37,0.67,-0.6,-18.11,-11.52,37.45,-15.22,22.63,-8.96,415.9,23.64,9670.0
3044,-0.26,0.41,-0.34,7.82,10.7,33.74,-18.93,15.22,-11.52,415.93,9.89,9670.0
3045,0.37,-0.33,0.08,-7.82,30.04,-18.93,7.82,-5.26,4.11,415.47,9.89,9666.67
3046,0.41,-0.19,0.08,2.96,30.04,-30.37,7.82,-5.26,4.11,240.88,8.19,10013.33
3047,0.34,0.15,-0.26,-11.52,7.82,-41.15,4.11,-8.96,10.37,240.82,20.23,10016.67
3048,-0.22,0.56,-0.52,15.22,-26.0,4.11,-18.93,0.41,-1.56,241.12,23.75,10020.0
3049,0.41,-0.11,0.19,-55.63,8.15,-37.11,7.82,-22.63,7.82,489.58,13.41,6965.0
3050,0.15,0.08,-0.22,3.78,-40.49,11.52,-15.22,-3.29,-11.52,489.85,18.63,6965.0
3051,-0.08,0.26,-0.04,0.08,-51.93,37.11,-15.22,-3.29,-11.52,668.61,15.11,6468.33
3052,-0.56,0.45,-0.6,60.15,-100.56,89.78,-60.15,13.49,-19.75,420.04,16.93,9513.33
3053,-0.08,0.11,-0.19,18.93,-66.74,59.34,-39.67,-2.15,-6.67,656.26,15.19,6878.33
3054,0.56,-0.7,0.26,-7.82,-14.07,-11.52,-12.93,-17.78,6.41,477.3,1.44,7388.33
3055,0.93,-1.26,0.97,-41.97,27.15,-93.82,32.0,-27.15,18.34,477.13,13.37,7378.33
3056,0.3,-0.59,0.45,-26.33,7.82,-70.78,15.22,-4.11,7.82,240.95,8.19,10003.33
3057,0.19,-0.22,0.26,-52.26,15.22,-44.85,18.93,3.29,10.37,240.92,21.93,9986.67
3058,-0.22,0.59,-0.23,4.11,-7.82,11.52,-7.82,18.93,-2.7,241.18,18.53,9986.67
3059,0.26,-0.26,0.63,-15.22,48.56,-18.93,15.22,-4.11,7.82,240.95,8.19,9993.33
3060,0.59,-0.34,0.7,21.81,33.74,-15.22,15.22,-4.11,7.82,435.94,9.97,8875.0
3061,1.0,-1.04,1.26,-34.56,86.41,-49.37,34.56,-20.89,17.19,435.61,15.15,8891.67
3062,0.93,-0.71,0.93,-49.04,64.19,-60.15,30.86,-17.19,27.15,435.64,30.67,8898.33
3063,0.37,-0.37,0.37,-15.22,30.37,-29.71,-25.52,-5.26,4.11,240.78,23.93,10020.0
3064,-0.19,0.41,-0.56,18.93,-26.0,30.37,-48.56,4.11,-7.82,241.08,25.67,10020.0
3065,-0.63,1.01,-1.15,78.34,-60.15,89.78,-71.6,16.04,-30.86,241.25,27.41,10020.0
3066,-0.15,0.6,-0.85,37.11,-26.33,29.71,-25.19,2.97,-11.52,241.05,34.15,10023.33
3067,0.63,0.0,-0.11,14.07,-7.0,-22.96,1.56,-12.67,1.56,240.85,16.89,10016.67
3068,0.52,-0.22,0.3,-4.11,-32.92,-22.96,-2.15,-1.56,-2.15,240.82,3.04,9996.67
3069,0.15,-0.11,0.52,3.29,-18.11,6.67,7.82,-0.41,1.56,240.88,1.26,10010.0
3070,-0.45,0.15,-0.08,26.33,-51.93,59.34,-22.63,26.33,-15.22,241.05,4.67,10003.33
3071,-0.22,-0.03,-0.26,30.04,-40.49,33.74,-15.22,22.63,-8.96,241.12,11.6,10016.67
3072,-0.49,0.6,-0.89,38.26,-74.64,56.78,-60.15,32.0,-20.89,241.28,-0.33,10006.67
3073,-0.11,0.04,-0.19,4.11,-33.41,-25.52,-29.71,5.26,-4.11,241.12,-3.74,10020.0
3074,-0.41,0.19,-0.15,-7.0,-44.85,-14.41,-37.11,8.96,-10.37,241.05,-10.67,10013.33
3075,-0.3,-0.22,-0.07,7.82,-59.34,15.22,-18.93,15.22,-11.52,241.15,-2.15,10003.33
3076,-0.67,0.34,-0.78,41.97,-100.56,97.52,-41.97,38.26,-22.04,241.38,8.19,9986.67
3077,-0.3,0.19,-0.85,67.56,-89.12,101.23,-41.97,38.26,-22.04,457.52,4.78,8070.0
3078,0.07,-0.26,-0.07,33.41,-18.26,41.15,-18.93,15.22,-11.52,457.28,-5.55,8083.33
3079,0.33,-0.45,0.45,-26.67,30.37,-15.22,-2.15,-4.11,8.96,457.08,-0.37,8093.33
3080,0.04,-0.26,0.67,-52.26,48.56,-4.44,5.26,-7.82,15.22,459.4,13.37,8010.0
3081,-0.37,0.44,0.11,4.11,-4.11,29.71,-35.97,8.96,5.85,459.53,15.19,8006.67
3082,-0.9,0.89,-0.16,56.78,-64.19,74.64,-60.15,32.0,-20.89,459.67,3.07,7996.67
3083,-0.3,0.11,0.26,11.52,-41.15,26.0,-33.41,16.37,-7.82,241.02,3.07,10000.0
3084,-0.11,-0.37,0.59,-33.74,-10.7,-0.74,7.82,-0.41,1.56,240.88,1.26,9990.0
3085,0.11,-0.37,0.56,-4.11,18.93,-15.22,11.52,-11.52,5.26,240.92,13.37,9993.33
3086,0.15,-0.41,0.59,21.81,18.93,-37.45,1.56,-12.67,1.56,240.85,15.15,9996.67
3087,-0.15,0.3,-0.11,55.63,-15.22,3.78,-51.11,6.67,-18.93,240.95,23.93,9996.67
3088,-0.08,0.11,-0.3,44.19,-33.41,7.48,-77.04,10.37,-26.33,240.85,17.19,10013.33
3089,-0.49,0.75,-0.93,74.64,-74.64,52.75,-112.01,20.89,-34.56,241.08,3.48,10006.67
3090,-0.3,0.34,-0.74,74.64,-89.12,41.97,-89.78,28.3,-30.86,457.28,-5.3,8096.67
3091,0.03,-0.29,-0.07,29.71,-47.89,-18.11,-43.37,15.22,-11.52,457.08,1.44,8080.0
3092,0.03,-0.29,-0.07,29.71,-47.89,-18.11,-54.82,17.78,-22.63,457.05,8.41,8086.67
3093,-0.11,0.04,-0.22,18.93,-22.3,-25.52,-65.6,7.82,-15.22,461.7,18.75,7920.0
3094,-0.45,0.67,-0.89,63.86,-63.53,34.56,-82.38,24.6,-24.6,657.85,3.23,6756.67
3095,0.15,0.3,-0.48,18.93,-29.71,0.74,-29.71,5.26,-4.11,657.75,-5.55,6743.33
3096,-0.0,0.15,-0.11,4.11,-44.52,18.93,-15.22,15.22,-11.52,676.87,-2.15,6076.67
3097,-0.19,0.56,-0.3,4.11,-30.04,29.71,-33.41,8.96,-10.37,480.95,-0.33,7243.33
3098,-0.22,0.52,-0.45,22.3,-30.04,18.26,-37.11,5.26,-4.11,480.88,11.71,7260.0
3099,-0.3,0.48,-0.59,22.3,-52.26,3.78,-37.11,-5.85,-0.41,241.02,15.22,10013.33
3100,-0.11,0.08,-0.41,22.3,-66.74,-7.0,-22.63,-7.0,-4.11,241.08,30.67,10023.33
3101,-0.48,0.19,-0.19,29.71,-51.93,22.63,-25.19,-7.0,-4.11,241.08,30.67,10010.0
3102,0.19,-0.56,0.37,-15.56,0.74,-11.52,5.26,-15.22,11.52,240.85,23.75,10016.67
3103,0.11,-0.37,0.56,-4.11,18.93,-15.22,8.96,-7.82,14.08,240.88,16.82,10013.33
3104,-0.22,-0.04,0.07,41.15,-29.71,7.82,-37.45,18.93,-12.67,495.92,22.04,6766.67
3105,-0.71,0.97,-0.75,112.01,-56.45,56.45,-82.38,28.3,-24.6,683.35,20.49,5923.33
3106,-0.82,1.19,-1.12,100.56,-60.15,70.93,-82.38,28.3,-24.6,683.35,20.49,5930.0
3107,-0.3,0.56,-0.52,18.26,-18.93,40.49,-33.41,1.56,2.15,428.31,15.27,9180.0
3108,-0.15,0.08,-0.37,7.48,-33.41,51.93,-44.85,4.11,-8.96,443.6,8.3,8596.67
3109,-0.0,-0.4,-0.22,-3.3,-47.89,63.37,-63.04,-2.15,-7.82,443.5,-0.22,8580.0
3110,-0.49,0.6,-1.04,67.56,-74.64,112.01,-100.56,18.34,-23.45,443.7,-10.45,8580.0
3111,-0.15,0.08,-0.37,7.48,-33.41,51.93,-54.15,-4.7,3.29,240.95,-0.22,10006.67
3112,0.19,-0.45,0.3,-52.59,7.82,-8.15,-9.22,-14.08,15.22,240.78,11.71,10013.33
3113,0.22,-0.59,0.26,-63.37,18.93,-26.33,-20.67,-7.82,14.08,483.17,20.23,7180.0
3114,-0.22,0.34,-0.48,-18.11,-7.82,4.11,-41.15,11.52,-5.26,683.69,18.53,5836.67
3115,-0.67,1.27,-1.23,27.15,-34.56,34.56,-75.3,30.86,-24.6,683.89,8.19,5846.67
3116,-0.82,1.19,-0.79,19.75,-71.6,52.75,-45.67,30.86,-24.6,441.61,8.19,8690.0
3117,-0.11,0.52,-0.12,11.52,-52.26,29.71,-25.19,21.48,-12.67,241.05,13.37,10036.67
3118,-0.15,0.59,-0.19,37.11,-52.26,47.89,-47.41,14.08,-16.37,240.98,18.75,10016.67
3119,-0.07,0.67,-0.6,44.52,-26.33,59.34,-51.11,6.67,-18.93,240.95,25.67,10016.67
3120,-0.52,0.71,-0.63,44.52,-11.52,59.34,-48.56,-3.29,-11.52,240.98,22.19,10006.67
3121,-0.7,0.45,-0.37,18.93,-37.45,44.85,-37.11,-5.85,-0.41,241.02,15.22,10013.33
3122,-0.22,-0.0,0.22,-29.71,-3.3,-26.0,-6.67,-14.08,15.22,240.78,11.71,10013.33
3123,-0.11,0.03,0.19,-66.74,-3.3,-29.71,-9.22,-6.67,18.93,240.88,15.19,10013.33
3124,0.26,-0.11,0.11,-41.15,8.15,-26.0,-20.67,-4.11,7.82,240.85,22.15,10026.67
3125,0.48,-0.33,0.0,-22.96,-6.67,-37.45,-30.63,-5.26,4.11,240.78,23.93,10016.67
3126,0.59,-0.7,0.19,2.96,-14.07,-63.37,-24.37,-8.96,-5.85,240.75,8.41,10016.67
3127,0.56,-0.78,0.15,-7.82,-14.07,-41.15,5.26,-5.26,4.11,240.75,16.89,9996.67
3128,-0.23,-0.18,0.07,15.22,-59.34,29.71,-15.22,4.11,-7.82,419.81,15.11,9496.67
3129,-0.64,0.45,-0.56,45.67,-100.56,74.97,-45.67,30.86,-24.6,419.97,18.52,9496.67
3130,-0.04,0.19,0.03,22.63,-66.74,22.3,-18.93,15.22,-11.52,419.84,15.0,9503.33
3131,0.48,-0.26,0.3,-30.04,-6.67,-22.63,7.82,-0.41,1.56,420.88,4.67,9461.67
3132,0.52,-0.33,0.22,-26.34,-6.67,14.41,7.82,-0.41,1.56,603.87,3.07,8791.67
3133,0.52,-0.33,0.22,-26.34,-6.67,14.41,-2.15,-11.52,5.26,603.83,1.37,8785.0
3134,0.56,-0.26,0.15,-14.89,-6.67,-0.08,-8.41,-7.82,15.22,423.87,13.48,9333.33
3135,1.12,-0.56,0.63,-63.53,27.15,-70.93,18.34,-30.86,41.97,240.75,27.19,10003.33
3136,0.26,-0.04,0.3,-47.89,-18.11,-29.71,-2.15,-11.52,22.63,419.77,28.89,9510.0
3137,-0.0,0.15,-0.11,11.52,-66.74,18.93,-22.63,0.41,-0.41,419.94,30.63,9513.33
3138,-0.6,0.71,-0.38,82.38,-82.38,63.86,-41.97,19.75,-20.89,420.14,25.45,9503.33
3139,-0.0,0.04,-0.19,100.64,-52.75,75.3,-41.97,19.75,-20.89,498.68,23.86,6670.0
3140,0.26,-0.15,0.22,41.22,-4.11,26.67,-11.52,11.52,-5.26,498.45,20.34,6670.0
3141,0.67,-0.86,0.78,-15.15,48.56,-7.48,5.26,-5.26,4.11,498.12,25.52,6680.0
3142,0.37,-0.37,0.37,-15.22,30.37,-29.71,1.56,5.85,0.41,240.78,16.78,10020.0
3143,-0.08,0.22,-0.22,44.19,-3.78,29.71,-25.19,21.48,-12.67,241.05,13.37,10023.33
3144,-0.08,0.22,-0.22,44.19,-3.78,29.71,-22.63,21.48,-12.67,241.05,13.37,10030.0
3145,0.45,-0.15,0.22,-15.22,30.04,-18.93,11.52,2.15,6.67,240.85,23.71,10016.67
3146,0.59,-0.63,0.37,-26.0,15.56,-7.48,-6.67,-4.11,7.82,240.75,15.19,10013.33
3147,0.74,-0.52,-0.07,-22.3,-21.48,-29.71,-6.67,-6.67,18.93,449.15,13.41,8378.33
3148,0.07,0.19,-0.63,11.52,-40.82,11.52,-33.41,8.96,5.85,449.41,10.0,8385.0
3149,-0.11,0.52,-0.78,11.52,-26.33,11.52,-22.63,18.93,-1.56,449.45,11.6,8375.0
3150,-0.37,0.67,-0.6,-18.11,-11.52,37.45,-22.63,11.52,-5.26,440.5,1.26,8708.33
3151,-0.3,0.34,-0.45,-7.0,-26.0,30.04,-22.63,11.52,-5.26,440.5,1.26,8715.0
3152,-0.15,0.08,-0.22,-10.7,-40.49,-7.0,-22.63,11.52,-5.26,440.5,1.26,8715.0
3153,-0.41,0.27,-0.74,49.37,-89.12,49.38,-45.67,30.86,-24.6,241.35,15.11,10013.33
3154,-0.34,0.27,-0.78,63.86,-89.12,64.19,-49.37,23.45,-27.15,241.32,4.78,10000.0
3155,-0.04,0.0,-0.33,7.48,-40.49,44.85,-18.93,-3.29,-10.37,241.15,1.37,10000.0
3156,-0.37,0.22,-0.22,-7.33,-51.93,18.93,-15.22,4.11,-7.82,241.18,-5.55,10006.67
3157,-0.45,0.41,-0.04,4.11,-33.74,15.22,-41.15,7.82,-15.22,241.08,3.23,10006.67
3158,-1.04,0.82,-0.45,49.38,-93.82,45.67,-71.6,34.56,-32.0,241.25,6.63,10006.67
3159,-0.45,0.41,-0.04,4.11,-33.74,15.22,-52.26,7.82,-15.22,240.95,8.34,10000.0
3160,-0.45,0.41,-0.04,4.11,-33.74,15.22,-40.82,5.26,-4.11,241.02,11.6,10006.67
3161,0.41,-0.15,0.19,-11.52,11.52,-41.15,-14.07,-15.22,11.52,240.75,23.71,10016.67
3162,0.45,-0.08,0.11,-0.08,11.52,-55.63,-16.63,-15.22,11.52,240.75,23.71,10010.0
3163,0.75,-0.52,0.41,-82.38,41.97,-86.08,24.6,-32.0,20.89,420.58,15.08,9468.33
3164,0.38,-0.41,0.63,-74.97,56.78,-56.45,22.04,-34.56,32.0,420.72,15.08,9451.67
3165,0.67,-0.56,0.78,-49.38,41.97,-38.26,28.3,-30.86,25.74,420.78,3.04,9461.67
